gwcode,country_name,year,for_years,prob
339,Albania,2021,2021 - 2022,0.30009135369424245
110,Guyana,2021,2021 - 2022,0.22209004279442268
475,Nigeria,2021,2021 - 2022,0.22087674963834877
437,Ivory Coast,2021,2021 - 2022,0.19997710985374612
432,Mali,2021,2021 - 2022,0.19762416102029762
346,Bosnia and Herzegovina,2021,2021 - 2022,0.19274886023263677
436,Niger,2021,2021 - 2022,0.17121449207548226
438,Guinea,2021,2021 - 2022,0.16983219635540012
553,Malawi,2021,2021 - 2022,0.16882764104669146
420,The Gambia,2021,2021 - 2022,0.16711718172264806
390,Denmark,2021,2021 - 2022,0.16080022818544698
760,Bhutan,2021,2021 - 2022,0.15586782355706244
369,Ukraine,2021,2021 - 2022,0.15512442325100625
367,Latvia,2021,2021 - 2022,0.1495645737616914
349,Slovenia,2021,2021 - 2022,0.14740362639677196
350,Greece,2021,2021 - 2022,0.14457946508317948
325,Italy,2021,2021 - 2022,0.12420464749980407
790,Nepal,2021,2021 - 2022,0.12339322142460799
385,Norway,2021,2021 - 2022,0.121046024944421
520,Somalia,2021,2021 - 2022,0.11629153599154052
352,Cyprus,2021,2021 - 2022,0.11584780119490792
20,Canada,2021,2021 - 2022,0.11334463422015897
404,Guinea-Bissau,2021,2021 - 2022,0.11161521735034254
452,Ghana,2021,2021 - 2022,0.10565507963739092
370,Belarus,2021,2021 - 2022,0.10370689176287466
235,Portugal,2021,2021 - 2022,0.10163308781096772
165,Uruguay,2021,2021 - 2022,0.09837528158680205
92,El Salvador,2021,2021 - 2022,0.09810453707304875
860,Timor-Leste,2021,2021 - 2022,0.09797416970860257
371,Armenia,2021,2021 - 2022,0.0963274625872222
435,Mauritania,2021,2021 - 2022,0.09311642843429628
100,Colombia,2021,2021 - 2022,0.09188883661399683
2,United States of America,2021,2021 - 2022,0.09153036080769592
451,Sierra Leone,2021,2021 - 2022,0.09028308343781884
145,Bolivia,2021,2021 - 2022,0.08911808144268729
155,Chile,2021,2021 - 2022,0.0862797542577122
780,Sri Lanka,2021,2021 - 2022,0.08573899270710689
160,Argentina,2021,2021 - 2022,0.0853976716656812
395,Iceland,2021,2021 - 2022,0.08334311032631893
482,Central African Republic,2021,2021 - 2022,0.08245148820995774
590,Mauritius,2021,2021 - 2022,0.08138346294419105
41,Haiti,2021,2021 - 2022,0.08060312540622362
900,Australia,2021,2021 - 2022,0.07991310782150704
230,Spain,2021,2021 - 2022,0.07859863581748905
651,Egypt,2021,2021 - 2022,0.07849016634259233
703,Kyrgyzstan,2021,2021 - 2022,0.0771159134067915
220,France,2021,2021 - 2022,0.076747973984433
210,Netherlands,2021,2021 - 2022,0.07609717702610513
355,Bulgaria,2021,2021 - 2022,0.07365076910446784
150,Paraguay,2021,2021 - 2022,0.07036343315143623
800,Thailand,2021,2021 - 2022,0.06993538465199084
740,Japan,2021,2021 - 2022,0.06836107741651824
200,United Kingdom,2021,2021 - 2022,0.06748202234991146
368,Lithuania,2021,2021 - 2022,0.06636371935753557
560,South Africa,2021,2021 - 2022,0.06564554054252976
630,Iran,2021,2021 - 2022,0.06473211720408059
93,Nicaragua,2021,2021 - 2022,0.06471004840015107
225,Switzerland,2021,2021 - 2022,0.0635313634597189
580,Madagascar,2021,2021 - 2022,0.06307590856810026
434,Benin,2021,2021 - 2022,0.06257716466623232
640,Turkey,2021,2021 - 2022,0.06247370010045192
380,Sweden,2021,2021 - 2022,0.06187351506028723
481,Gabon,2021,2021 - 2022,0.06085287217120542
439,Burkina Faso,2021,2021 - 2022,0.059715718859176564
850,Indonesia,2021,2021 - 2022,0.059275780407301255
