gwcode,year,pop
2,1816,8659
2,1817,8899
2,1818,9139
2,1819,9379
2,1820,9618
2,1821,9939
2,1822,10268
2,1823,10596
2,1824,10924
2,1825,11252
2,1826,11580
2,1827,11909
2,1828,12237
2,1829,12565
2,1830,12901
2,1831,13321
2,1832,13742
2,1833,14162
2,1834,14582
2,1835,15003
2,1836,15423
2,1837,15843
2,1838,16264
2,1839,16684
2,1840,17120
2,1841,17733
2,1842,18345
2,1843,18957
2,1844,19569
2,1845,20182
2,1846,20794
2,1847,21406
2,1848,22018
2,1849,22631
2,1850,23261
2,1851,24086
2,1852,24911
2,1853,25736
2,1854,26561
2,1855,27386
2,1856,28212
2,1857,29037
2,1858,29862
2,1859,30687
2,1860,31513
2,1861,32351
2,1862,33188
2,1863,34026
2,1864,34863
2,1865,35701
2,1866,36538
2,1867,37376
2,1868,38213
2,1869,39051
2,1870,39905
2,1871,40938
2,1872,41972
2,1873,43006
2,1874,44040
2,1875,45073
2,1876,46107
2,1877,47141
2,1878,48174
2,1879,49208
2,1880,50262
2,1881,51542
2,1882,52821
2,1883,54100
2,1884,55379
2,1885,56658
2,1886,57938
2,1887,59217
2,1888,60496
2,1889,61775
2,1890,63056
2,1891,64361
2,1892,65666
2,1893,66970
2,1894,68275
2,1895,69580
2,1896,70885
2,1897,72189
2,1898,73494
2,1899,74799
2,1900,76094
2,1901,77584
2,1902,79163
2,1903,80632
2,1904,82166
2,1905,83822
2,1906,85450
2,1907,87008
2,1908,88710
2,1909,90490
2,1910,92407
2,1911,93863
2,1912,95335
2,1913,97225
2,1914,99111
2,1915,100546
2,1916,101961
2,1917,103268
2,1918,103208
2,1919,104514
2,1920,106461
2,1921,108538
2,1922,110049
2,1923,111947
2,1924,114109
2,1925,115829
2,1926,117397
2,1927,119035
2,1928,120509
2,1929,121767
2,1930,123188
2,1931,124149
2,1932,124949
2,1933,125690
2,1934,126485
2,1935,127362
2,1936,128181
2,1937,128961
2,1938,129969
2,1939,131028
2,1940,132122
2,1941,133402
2,1942,134860
2,1943,136739
2,1944,138397
2,1945,139928
2,1946,141389
2,1947,144126
2,1948,147208
2,1949,149767
2,1950,158804
2,1951,160872
2,1952,163266
2,1953,165910
2,1954,168736
2,1955,171685
2,1956,174705
2,1957,177751
2,1958,180788
2,1959,183786
2,1960,186721
2,1961,189570
2,1962,192314
2,1963,194932
2,1964,197408
2,1965,199734
2,1966,201896
2,1967,203905
2,1968,205806
2,1969,207659
2,1970,209513
2,1971,211384
2,1972,213270
2,1973,215179
2,1974,217115
2,1975,219081
2,1976,221086
2,1977,223136
2,1978,225223
2,1979,227339
2,1980,229476
2,1981,231636
2,1982,233822
2,1983,236030
2,1984,238257
2,1985,240500
2,1986,242763
2,1987,245053
2,1988,247372
2,1989,249726
2,1990,252120
2,1991,254539
2,1992,256991
2,1993,259532
2,1994,262241
2,1995,265164
2,1996,268335
2,1997,271714
2,1998,275175
2,1999,278548
2,2000,281711
2,2001,284608
2,2002,287279
2,2003,289816
2,2004,292355
2,2005,294994
2,2006,297759
2,2007,300608
2,2008,303486
2,2009,306308
2,2010,309011
2,2011,311584
2,2012,314044
2,2013,316401
2,2014,318673
2,2015,320878
2,2016,323016
2,2017,325085
2,2018,327096
2,2019,329065
2,2020,331003
2,2021,332915
20,1867,3463
20,1868,3511
20,1869,3565
20,1870,3625
20,1871,3688.94
20,1872,3754
20,1873,3826
20,1874,3895
20,1875,3954
20,1876,4009
20,1877,4064
20,1878,4120
20,1879,4185
20,1880,4255
20,1881,4314.58
20,1882,4375
20,1883,4430
20,1884,4487
20,1885,4537
20,1886,4580
20,1887,4626
20,1888,4678
20,1889,4729
20,1890,4779
20,1891,4830.72
20,1892,4883
20,1893,4931
20,1894,4979
20,1895,5026
20,1896,5074
20,1897,5122
20,1898,5175
20,1899,5235
20,1900,5301
20,1901,5396.64
20,1902,5494
20,1903,5651
20,1904,5827
20,1905,6002
20,1906,6097
20,1907,6411
20,1908,6625
20,1909,6800
20,1910,6988
20,1911,7174.12
20,1912,7365.2
20,1913,7527.2
20,1914,7692.8
20,1915,7862.1
20,1916,8035.6
20,1917,8180.2
20,1918,8328.4
20,1919,8478.5
20,1920,8556
20,1921,8788
20,1922,8919
20,1923,9010
20,1924,9143
20,1925,9294
20,1926,9451
20,1927,9637
20,1928,9835
20,1929,10029
20,1930,10208
20,1931,10377
20,1932,10510
20,1933,10633
20,1934,10741
20,1935,10845
20,1936,10950
20,1937,11045
20,1938,11152
20,1939,11267
20,1940,11381
20,1941,11507
20,1942,11654
20,1943,11795
20,1944,11946
20,1945,12072
20,1946,12292
20,1947,12551
20,1948,13167
20,1949,13475
20,1950,13733
20,1951,14078
20,1952,14445
20,1953,14835
20,1954,15245
20,1955,15674
20,1956,16115
20,1957,16561
20,1958,17005
20,1959,17436
20,1960,17847
20,1961,18234
20,1962,18597
20,1963,18943
20,1964,19284
20,1965,19628
20,1966,19976
20,1967,20325
20,1968,20675
20,1969,21025
20,1970,21374
20,1971,21723
20,1972,22072
20,1973,22415
20,1974,22746
20,1975,23059
20,1976,23355
20,1977,23634
20,1978,23902
20,1979,24161
20,1980,24417
20,1981,24668
20,1982,24917
20,1983,25171
20,1984,25445
20,1985,25745
20,1986,26076
20,1987,26433
20,1988,26806
20,1989,27179
20,1990,27541
20,1991,27889
20,1992,28224
20,1993,28548
20,1994,28861
20,1995,29164
20,1996,29458
20,1997,29742
20,1998,30022
20,1999,30303
20,2000,30588
20,2001,30880
20,2002,31178
20,2003,31488
20,2004,31815
20,2005,32164
20,2006,32537
20,2007,32931
20,2008,33338
20,2009,33746
20,2010,34148
20,2011,34539
20,2012,34922
20,2013,35297
20,2014,35664
20,2015,36027
20,2016,36383
20,2017,36732
20,2018,37075
20,2019,37411
20,2020,37742
20,2021,38068
31,1973,182
31,1974,185
31,1975,189
31,1976,193
31,1977,197
31,1978,201
31,1979,206
31,1980,211
31,1981,215
31,1982,220
31,1983,225
31,1984,230
31,1985,235
31,1986,239
31,1987,243
31,1988,247
31,1989,252
31,1990,256
31,1991,261
31,1992,266
31,1993,271
31,1994,276
31,1995,280
31,1996,284
31,1997,287
31,1998,291
31,1999,294
31,2000,298
31,2001,303
31,2002,308
31,2003,313
31,2004,319
31,2005,325
31,2006,331
31,2007,337
31,2008,344
31,2009,350
31,2010,355
31,2011,360
31,2012,364
31,2013,367
31,2014,371
31,2015,374
31,2016,378
31,2017,382
31,2018,386
31,2019,389
31,2020,393
31,2021,397
40,1902,1760
40,1903,1840
40,1904,1880
40,1905,1930
40,1906,1980
40,1907,2034.72
40,1908,2092
40,1909,2150
40,1910,2220
40,1911,2290
40,1912,2360
40,1913,2410
40,1914,2510
40,1915,2590
40,1916,2660
40,1917,2750
40,1918,2830
40,1919,2910
40,1920,3000
40,1921,3080
40,1922,3180
40,1923,3260
40,1924,3350
40,1925,3430
40,1926,3520
40,1927,3610
40,1928,3510
40,1929,3580
40,1930,3650
40,1931,3960
40,1932,3960
40,1933,3960
40,1934,4040
40,1935,4070
40,1936,4110
40,1937,4170
40,1938,4230
40,1939,4250
40,1940,4290
40,1941,4330
40,1942,4370
40,1943,4780
40,1944,4850
40,1945,4930
40,1946,5040
40,1947,5150
40,1948,5287
40,1949,5399
40,1950,5920
40,1951,6050
40,1952,6179
40,1953,6304
40,1954,6424
40,1955,6539
40,1956,6652
40,1957,6765
40,1958,6881
40,1959,7005
40,1960,7141
40,1961,7291
40,1962,7454
40,1963,7623
40,1964,7793
40,1965,7958
40,1966,8115
40,1967,8266
40,1968,8414
40,1969,8561
40,1970,8713
40,1971,8868
40,1972,9025
40,1973,9179
40,1974,9321
40,1975,9446
40,1976,9554
40,1977,9646
40,1978,9724
40,1979,9791
40,1980,9849
40,1981,9899
40,1982,9940
40,1983,9981
40,1984,10032
40,1985,10098
40,1986,10184
40,1987,10287
40,1988,10398
40,1989,10504
40,1990,10597
40,1991,10674
40,1992,10736
40,1993,10789
40,1994,10838
40,1995,10888
40,1996,10939
40,1997,10990
40,1998,11039
40,1999,11085
40,2000,11126
40,2001,11165
40,2002,11200
40,2003,11229
40,2004,11250
40,2005,11262
40,2006,11261
40,2007,11251
40,2008,11237
40,2009,11227
40,2010,11226
40,2011,11237
40,2012,11257
40,2013,11283
40,2014,11307
40,2015,11325
40,2016,11335
40,2017,11339
40,2018,11338
40,2019,11333
40,2020,11327
40,2021,11317
41,1816,440.26
41,1817,442.99
41,1818,445.73
41,1819,448.49
41,1820,451.26
41,1821,454.05
41,1822,456.86
41,1823,459.69
41,1824,462.53
41,1825,465.4
41,1826,468.28
41,1827,471.17
41,1828,474.09
41,1829,477.02
41,1830,479.97
41,1831,482.94
41,1832,485.93
41,1833,488.94
41,1834,491.97
41,1835,495.01
41,1836,498.07
41,1837,501.15
41,1838,504.26
41,1839,507.38
41,1840,510.52
41,1841,513.67
41,1842,516.85
41,1843,520.05
41,1844,523.27
41,1845,526.51
41,1846,529.77
41,1847,533.04
41,1848,536.34
41,1849,539.66
41,1850,543
41,1851,546.36
41,1852,549.74
41,1853,553.14
41,1854,556.56
41,1855,560
41,1856,561.7
41,1857,563.4
41,1858,565.11
