gwcode,year,lag1_infmort,lag1_infmort_yearadj,lag1_infmort_imputed
2,1960,25.9,-1.2074245423087362,FALSE
2,1961,25.9,-1.2269200715662947,FALSE
2,1962,25.4,-1.235888187610865,FALSE
2,1963,24.9,-1.2310596570541934,FALSE
2,1964,24.4,-1.2215182229040602,FALSE
2,1965,23.8,-1.218361133240069,FALSE
2,1966,23.3,-1.2168872223263598,FALSE
2,1967,22.7,-1.2110396635509435,FALSE
2,1968,22,-1.2233026891164451,FALSE
2,1969,21.3,-1.222486810402064,FALSE
2,1970,20.6,-1.21613767415944,FALSE
2,1971,19.9,-1.2175271436898571,FALSE
2,1972,19.1,-1.2068772316767509,FALSE
2,1973,18.3,-1.2035794424534194,FALSE
2,1974,17.5,-1.2023226855214586,FALSE
2,1975,16.7,-1.2228444654133168,FALSE
2,1976,15.9,-1.2134120547788545,FALSE
2,1977,15.2,-1.2090535718749675,FALSE
2,1978,14.5,-1.1982046660423809,FALSE
2,1979,13.8,-1.1880513583577328,FALSE
2,1980,13.2,-1.177717454740547,FALSE
2,1981,12.6,-1.1694418582943884,FALSE
2,1982,12.1,-1.1572770928068117,FALSE
2,1983,11.7,-1.1445498108469763,FALSE
2,1984,11.3,-1.121867633273536,FALSE
2,1985,10.9,-1.1066996810658711,FALSE
2,1986,10.6,-1.091205693527805,FALSE
2,1987,10.4,-1.074287635293559,FALSE
2,1988,10.2,-1.057609655409424,FALSE
2,1989,9.9,-1.0436479247982478,FALSE
2,1990,9.7,-1.0336100989190706,FALSE
2,1991,9.4,-1.0301957969972548,FALSE
2,1992,9.1,-1.0069228719120997,FALSE
2,1993,8.8,-0.998780241467573,FALSE
2,1994,8.5,-0.9941534452252487,FALSE
2,1995,8.2,-0.9712336996871008,FALSE
2,1996,7.9,-0.9834217042874731,FALSE
2,1997,7.7,-0.9759784910502162,FALSE
2,1998,7.5,-0.9692523908879838,FALSE
2,1999,7.4,-0.9625003696322905,FALSE
2,2000,7.2,-0.9570286493318649,FALSE
2,2001,7.1,-0.9447458934218165,FALSE
2,2002,7,-0.9416027719149427,FALSE
2,2003,6.9,-0.9327099382948356,FALSE
2,2004,6.9,-0.920803801629095,FALSE
2,2005,6.8,-0.9141537079601425,FALSE
2,2006,6.7,-0.8928050401545832,FALSE
2,2007,6.7,-0.8835730016256015,FALSE
2,2008,6.6,-0.8716076071018202,FALSE
